Company Name,Job Title,Location,Website URL,LinkedIn URL
Business Wire,Senior Software Engineer,United States,https://www.businesswire.com/,https://www.linkedin.com/company/business-wire
"Dot Foods, Inc.",Software Engineer - Warehouse,"Mount Sterling, IL 62353",https://www.dotfoods.com/,https://www.linkedin.com/company/dotfoods
Disney Entertainment & ESPN Technology,"Lead Software Engineer, Frontend","Santa Monica, CA",https://www.disney.com/,
HDR,Bentley Platform Developer,"Omaha, NE 68106",https://www.hdrinc.com/,https://www.linkedin.com/company/hdr
Expleo,Senior Software Engineer,"Remote in Rochester, MN 55904",https://expleo.com/,https://www.linkedin.com/company/expleo-group
Lowe's,Sr Software Engineer - Fullstack,"Charlotte, NC",http://www.lowes.com/,https://www.linkedin.com/company/lowe's-home-improvement
Sprig,Backend Engineer,"San Francisco, CA",https://sprig.com/,https://www.linkedin.com/company/sprig-official
Linktree,Senior Frontend Engineer,"San Francisco, CA",https://www.instagram.com/,https://au.linkedin.com/company/linktree
Thermo Fisher Scientific,Front End Software Engineer,Indiana,https://www.thermofisher.com/,https://www.linkedin.com/company/thermo-fisher-scientific
AstraZeneca,API Software Engineering Lead - Evinova,"Gaithersburg, MD 20878",https://www.astrazeneca.com/,https://www.linkedin.com/company/medimmune
Freddie Mac,"Full-Stack Agile Developer, Technical Lead (Hybrid - 3 Days in Office)","McLean, VA 22102",https://www.freddiemac.com/,https://www.linkedin.com/company/freddie-mac
Visionet Systems,Senior Software Engineer,"Pittsburgh, PA",https://www.visionet.com/,https://www.linkedin.com/company/visionet-systems-inc-
Sadup Softech,DotNet Developer,United States,https://sadupsoft.com/,https://www.linkedin.com/company/sadup-softech
McKinsey & Company,Senior Software Engineer,"Atlanta, GA 30303",https://www.mckinsey.com/,"https://www.linkedin.com/company/mckinsey#:~:text=McKinsey%20%26%20Company%20is%20a%20global,that%20no%20one%20else%20can."
Adobe,Sr Software Development Engineer,"San Jose, CA 95110",https://www.adobe.com/,https://www.linkedin.com/company/adobe
Edgio,DevOps Engineer,United States,https://cybersecuritysummit.com/,https://www.linkedin.com/company/edgio
"Cambridge Investment Research, Inc.",Software Developer II,"Fairfield, IA 52556",https://www.joincambridge.com/,https://www.linkedin.com/company/cambridge-investment-research
Dutech Systems,Programmer/Developer Software Developer,"Austin, TX",https://dutechsystems.com/,https://www.linkedin.com/company/dutechsystems
